name,code,industry,intro,logo,source,国际知名度评分,国际影响力评分,知名度排名,影响力排名,排名说明
台化,1326,石化/纺织,石化、塑胶、纤维与纺织相关产品制造商。,logo-039.png,图中公司,4.9,5.3,123,105,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
和泰汽车,2207,汽车销售,台湾主要汽车代理与销售服务集团。,logo-032.png,图中公司,4.9,4.5,124,154,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
鈊象电子,3293,游戏软件,游戏研发与营运公司，产品涵盖商用游戏与线上游戏。,logo-044.png,图中公司,4.9,4.6,125,145,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
福懋兴业,1434,纺织,纺织、染整与布料制造企业。,logo-073.png,图中公司,4.9,5.3,126,106,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华义国际,3086,游戏软件,线上游戏与数位娱乐公司。,logo-078.png,图中公司,4.9,4.6,127,146,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
传奇网络,4994,游戏研发,线上游戏研发公司。,logo-076.png,图中公司,4.9,4.6,128,148,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宇峻奥汀,3546,游戏研发,电脑与手机游戏研发公司。,logo-080.png,图中公司,4.9,4.6,129,149,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大宇资讯,6111,游戏研发,游戏开发与发行公司。,logo-079.png,图中公司,4.9,4.6,130,150,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
景硕科技,3189,IC载板,IC载板与印刷电路板制造商。,,新增台湾企业,4.9,7.0,131,41,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
裕隆汽车,2201,汽车制造,汽车制造与品牌经营企业。,,新增台湾企业,4.9,4.8,132,135,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中华汽车,2204,汽车制造,汽车制造、销售与相关服务公司。,,新增台湾企业,4.9,4.8,133,136,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宝雅国际,5904,零售通路,生活百货与美妆零售连锁。,,新增台湾企业,4.9,4.3,134,170,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
金像电,2368,PCB,印刷电路板制造商。,,新增台湾企业,4.8,6.8,135,52,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
耀华电子,2367,PCB,印刷电路板制造商。,,新增台湾企业,4.8,6.8,136,53,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
嘉联益,6153,软板PCB,软性印刷电路板制造商。,,新增台湾企业,4.8,6.8,137,54,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
臻鼎-KY,4958,PCB,全球大型PCB制造集团。,,新增台湾企业,4.8,6.8,138,55,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华通电脑,2313,PCB,印刷电路板与HDI板制造商。,,新增台湾企业,4.8,6.8,139,56,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
健鼎科技,3044,PCB,印刷电路板制造商。,,新增台湾企业,4.8,6.8,140,57,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
竞国实业,6108,PCB,印刷电路板制造企业。,,新增台湾企业,4.8,6.8,141,58,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
志超科技,8213,PCB,印刷电路板制造商。,,新增台湾企业,4.8,6.8,142,59,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台郡科技,6269,软板PCB,软性印刷电路板制造商。,,新增台湾企业,4.8,6.8,143,60,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
富邦金控,2881,金融控股,台湾大型金融控股公司，业务包含银行、保险与证券。,logo-084.png,图中公司,4.7,5.1,144,110,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
国泰金控,2882,金融控股,台湾大型金融控股公司，旗下包含寿险、银行、证券等业务。,logo-081.png,图中公司,4.7,5.1,145,111,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中信金控,2891,金融控股,台湾金融控股公司，核心业务为银行、证券、保险等。,logo-089.png,图中公司,4.7,5.1,146,112,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
元大金控,2885,金融控股,金融控股集团，业务包含证券、银行、投信与期货。,logo-006.png,图中公司,4.7,5.1,147,113,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
兆丰金控,2886,金融控股,台湾金融控股公司，业务涵盖银行、证券、票券与保险。,logo-004.png,图中公司,4.7,5.1,148,114,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台新金控,2887,金融控股,金融控股公司，业务涵盖银行、证券与保险代理等。,logo-005.png,图中公司,4.7,5.1,149,115,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
玉山金控,2884,金融控股,以银行为核心的金融控股公司。,logo-009.png,图中公司,4.7,5.1,150,116,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华南金控,2880,金融控股,台湾金融控股公司，主要业务包含银行与证券。,logo-018.png,图中公司,4.7,5.1,151,117,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
永丰金控,2890,金融控股,金融控股集团，业务包含银行、证券与租赁等。,logo-015.png,图中公司,4.7,5.1,152,118,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
第一金控,2892,金融控股,台湾金融控股公司，核心为第一银行。,logo-011.png,图中公司,4.7,5.1,153,119,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
凯基金控,2883,金融控股,金融控股集团，业务覆盖证券、银行、保险与资产管理。,logo-028.png,图中公司,4.7,5.1,154,120,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
合作金库金控,5880,金融控股,台湾金融控股公司，核心为合作金库银行。,logo-026.png,图中公司,4.7,5.1,155,121,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
药华医药,6446,生技医药,生技药品研发与商业化公司。,logo-025.png,图中公司,4.7,4.8,156,132,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
新光金控,2888,金融控股,金融控股公司，业务包含寿险与银行。,logo-046.png,图中公司,4.7,5.1,157,122,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾水泥,1101,水泥/建材,水泥、建材、能源与环保相关事业集团。,logo-043.png,图中公司,4.7,4.9,158,128,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
康霈生技,6919,生技医药,生技医药公司，聚焦新药研发。,logo-053.png,图中公司,4.7,4.8,159,133,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
亚洲水泥,1102,水泥/建材,水泥与建材制造企业。,logo-058.png,图中公司,4.7,4.9,160,129,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
远东百货,2903,百货零售,百货商场与零售通路企业。,,新增台湾企业,4.7,4.2,161,173,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
杏国新药,4192,生技医药,新药研发公司，聚焦肿瘤与特殊疾病治疗领域。,,新增台湾企业,4.6,4.7,162,142,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台康生技,6589,生技医药,生物相似药与抗体药物研发制造公司。,,新增台湾企业,4.6,4.7,163,143,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
顺药,6535,生技医药,新药研发公司，专注中枢神经与急重症治疗领域。,,新增台湾企业,4.6,4.7,164,144,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
保瑞药业,6472,制药,药品制造、研发与CDMO服务企业。,logo-063.png,图中公司,4.5,4.5,165,158,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾金控,未上市,金融控股,台湾金融控股集团，旗下含台湾银行等事业。,,新增台湾企业,4.5,4.9,166,131,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
松瑞药,4167,制药,药品研发、制造与销售公司。,,新增台湾企业,4.4,4.4,167,168,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
致茂电子,2360,测试量测设备,测试量测、自自动化检测与电源电子相关设备供应商。,,图中公司,4.3,4.1,168,175,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
光宝科技,2301,光电/电源,电源供应、光电、车用电子与云端应用产品制造商。,logo-014.png,图中公司,4.3,4.1,169,176,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
亚德客,1590,气动元件,气动元件与自动化零组件制造商。,logo-037.png,图中公司,4.3,4.1,170,177,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中租,5871,租赁金融,租赁、分期、企业金融与国际金融服务集团。,logo-045.png,图中公司,4.3,4.7,171,141,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
联强国际,2347,资讯通路,资讯、通讯与电子产品通路服务商。,logo-051.png,图中公司,4.3,4.1,172,178,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
牧德科技,3563,AOI检测设备,自动光学检测设备制造商。,logo-065.png,图中公司,4.3,4.1,173,179,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
国泰建设,2501,营建,住宅、商业不动产与开发建设公司。,logo-069.png,图中公司,4.3,4.1,174,180,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
OBOOK 控股,6906,控股/数位服务,控股型企业，聚焦数位服务与相关投资。,,图中公司,4.3,4.1,175,181,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
亚洲航空,2630,航空维修/服务,航空维修与相关服务公司。,logo-082.png,图中公司,4.3,4.1,176,182,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
彰化银行,2801,银行,台湾商业银行，提供存放款、外汇与金融服务。,logo-034.png,图中公司,4.2,4.5,177,155,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
上海商银,5876,银行,商业银行，提供个人与企业金融服务。,logo-048.png,图中公司,4.2,4.5,178,156,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾企银,2834,银行,台湾中小企业银行，服务中小企业与个人金融。,logo-054.png,图中公司,4.2,4.5,179,157,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
研勤科技,3632,导航/车载系统,车载导航与智能交通相关设备企业。,,新增台湾企业,4.2,4.0,180,183,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
振桦电,8114,POS系统,POS终端、工业电脑与零售解决方案供应商。,,新增台湾企业,4.2,4.0,181,184,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
飞捷科技,6206,POS系统,POS终端、工业电脑与零售设备制造商。,,新增台湾企业,4.2,4.0,182,185,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
旺宏电子,2337,记忆体,非挥发性记忆体与NOR Flash制造商。,,新增台湾企业,4.2,4.0,183,186,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华邦电子,2344,记忆体,DRAM与Flash记忆体设计制造公司。,,新增台湾企业,4.2,4.0,184,187,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
宜鼎国际,5289,工业储存,工业级记忆体与嵌入式储存解决方案供应商。,,新增台湾企业,4.2,4.0,185,188,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
东元电机,1504,电机,马达、机电系统与能源解决方案供应商。,,新增台湾企业,4.2,4.0,186,189,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
华城电机,1519,重电设备,变压器、重电设备与电力工程企业。,,新增台湾企业,4.2,4.0,187,190,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
亚力电机,1514,电机设备,电力设备、自动化与工程服务公司。,,新增台湾企业,4.2,4.0,188,191,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
士林电机,1503,电机设备,电机、重电与车用电装品制造商。,,新增台湾企业,4.2,4.0,189,192,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中兴电工,1513,电机工程,电力设备、工程服务与能源相关企业。,,新增台湾企业,4.2,4.0,190,193,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
和大工业,1536,汽车零组件,汽车传动系统与精密零组件制造商。,,新增台湾企业,4.2,4.0,191,194,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
东阳实业,1319,汽车零组件,汽车塑胶件、钣金件与售后维修件供应商。,,新增台湾企业,4.2,4.0,192,195,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
堤维西,1522,汽车零组件,车灯与汽车零组件制造商。,,新增台湾企业,4.2,4.0,193,196,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
胡连精密,6279,汽车连接器,车用端子与连接器制造商。,,新增台湾企业,4.2,4.0,194,197,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
江申工业,1525,汽车零组件,汽车零组件与车体结构件制造商。,,新增台湾企业,4.2,4.0,195,198,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
丽清科技,3346,车用照明,LED车灯模组与车用照明产品制造商。,,新增台湾企业,4.2,4.0,196,199,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾玻璃,1802,玻璃,玻璃与建材产品制造商。,,新增台湾企业,4.2,4.0,197,200,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
和泰兴业,6592,空调/家电代理,空调与家电代理销售及服务公司。,,新增台湾企业,4.2,4.0,198,201,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
乔山健康科技,1736,健身器材,健身器材与健康科技产品制造商。,,新增台湾企业,4.2,4.0,199,202,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大统益,1232,油脂,食用油脂与相关产品制造商。,,新增台湾企业,4.2,4.0,200,203,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
三商寿,2867,保险,人寿保险公司。,,新增台湾企业,4.2,4.6,201,152,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台湾人寿,中信金控子公司,保险,人寿保险公司，现属中信金控体系。,,新增台湾企业,4.2,4.6,202,153,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台骅投控,2636,物流运输,国际物流、货运承揽与供应链服务公司。,,新增台湾企业,4.2,4.0,203,204,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
大江生医,8436,生技保健,保健食品、机能性食品与生技产品研发制造公司。,,新增台湾企业,4.2,4.0,204,205,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
葡萄王,1707,生技保健,保健食品、饮品与生技发酵产品制造商。,,新增台湾企业,4.2,4.0,205,206,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
中化生,1762,原料药,原料药与医药中间体生产企业。,,新增台湾企业,4.2,4.0,206,207,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
京城银行,2809,银行,商业银行，提供个人与企业金融服务。,,新增台湾企业,4.1,4.4,207,164,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
高雄银行,2836,银行,商业银行，提供存放款与金融服务。,,新增台湾企业,4.1,4.4,208,165,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
王道银行,2897,银行,商业银行，提供数位金融与企业金融服务。,,新增台湾企业,4.1,4.4,209,166,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
台中商业银行,2812,银行,台湾商业银行，服务个人与企业客户。,,新增台湾企业,4.1,4.4,210,167,主观综合排序：依据海外品牌认知、媒体可见度、消费端辨识度、产业链地位、市场规模和技术/供应链影响力。
